qid,label_a,label_b,reason_a,reason_b,question,golds,adjudicated,class
606,eligible,eligible,"The passages confirm that Julie Kavner voices Marge Simpson, matching the recorded gold answer.","The question clearly asks who voices Marge Simpson, and the passages confirm the gold answer[passage text redacted].",who does marge's voice on the simpsons,"[""Julie Deborah Kavner""]",eligible,eligible
614,ambiguous,ambiguous,"There have been multiple 'Alice in Wonderland' adaptations with different actors voicing/playing 'the mouse' (e.g., Barbara Windsor in 2010 film, Nathan Lane in 1985 TV version, Sherman Hemsley in another), so without specifying which version, the question has multiple valid answers.","The question doesn't specify which adaptation (many versions exist, with the Mouse pl[passage text redacted], Nathan Lane, etc.) nor whether it refers to the Mouse or the Dormouse, so the gold of Barbara Windsor (Dormouse in Burton's 2010 film) is not uniquely determined.",who plays the mouse in alice in wonderland,"[""Barbara Windsor""]",ineligible,ambiguous
617,ambiguous,eligible,"The question could refer to either the 1994 film (Simon Callow) or the 2019 miniseries adaptation, which have different actors, so the intended version is unclear.","The passage explicitly identifies Simon Callow as the actor playing Gareth in the 1994 film, matching the gold answer, and the question is not meaningfully ambiguous despite a later miniseries adaptation.",who played gareth in four weddings and a funeral,"[""Simon Callow""]",eligible,eligible
621,eligible,ambiguous,"The question asks for cast members of Law & Order: SVU, and the recorded gold list corresponds to actual principal cast members supported by the passages and general show knowledge.","The question asks for the cast of a long-running series without specifying a season or era, so no single fixed list of actors is determined (the gold mixes original, departed, and later cast members while omitting others like Kelli Giddish's later additions or newer regulars).",cast of law & order special victim unit,"[""Kelli Giddish"", ""Richard Belzer"", ""Stephanie March"", ""Diane Neal"", ""Ice-T"", ""Danny Pino"", ""Dann Florek"", ""Tamara Tunie"", ""Michaela McManus"", ""Mariska Hargitay"", ""Adam Beach"", ""B. D. Wong"", ""Christopher Meloni"", ""Ra\u00fal Esparza"", ""Michelle Hurd"", ""Peter Scanavino""]",eligible,eligible
637,eligible,ambiguous,"The Panthers lost the Super Bowl twice, once[passage text redacted](2003 season) and once[passage text redacted](2015 season), so both recorded gold answers are valid depending on which appearance is meant, and the passages support both facts.","Carolina lost two different Super Bowls (XXXVIII to New England and 50 to Denver), and the question specifies no year or edition, so a single answer isn't determined.",who did carolina lose to in the super bowl,"[""Denver Broncos"", ""New England Patriots""]",eligible,eligible
642,eligible,eligible,"The passages consistently confirm[passage text redacted]US[passage text redacted], matching the gold answer.","The passages repeatedly state that kudzu arrived in the US from Japan at[passage text redacted], matching the gold answer.",when was kudzu introduced to the united states,"[""1876"", ""in 1876""]",eligible,eligible
644,ambiguous,ambiguous,"Flags were planted at six different Apollo landing sites, so without specifying which mission, the question has multiple valid location answers as reflected in the multiple gold answers.","The question doesn't specify which Apollo mission's flag is meant, and six[passage text redacted]at six different landing sites, so no single location is determined (the gold is a list of all six).",where was the flag placed on the moon,"[""Hadley\u2013Apennine"", ""Sea of Tranquility"", ""Fra Mauro formation"", ""Descartes Highlands"", ""Ocean of Storms"", ""Taurus\u2013Littrow""]",ineligible,ambiguous
652,unanswerable,unanswerable,"The passages discuss Jack McCoy's role changes over time but never state the year he first joined Law & Order, so the gold answer of 1994 cannot be verified from this text.","The question asks when the Jack McCoy character first appeared on Law & Order (1994, season 5), and while the passages discuss his later promotion to DA in 2007-08 and[passage text redacted] Stone, none of them state the year he joined the series.",when did jack mccoy join law and order,"[""1994""]",ineligible,unanswerable
684,unanswerable,unanswerable,"The passages mention the Golden Nugget as one of[passage text redacted]casinos formerly Trump's Castle/Marina but never state who currently owns it, so the gold answer of Landry's, Inc. cannot be verified from this corpus.","The gold answer (Landry's, Inc., Tilman Fertitta's company) is correct for the Golden Nugget Atlantic City, but the provided passages only mention the property's former Trump ownership and never identify its current owner.",who owns the golden nugget casino in atlantic city,"[""Landry's, Inc.""]",ineligible,unanswerable
697,stale_gold,stale_gold,"The passages show[passage text redacted] has been superseded by[passage text redacted]which is now the current UK legislation on data protection, making the recorded gold outdated.",The passages show the 1998 Act was replaced by[passage text redacted]so the current correct answer would not match the recorded gold.,legislation regarding data protection and security in uk,"[""The Data Protection Act 1998"", ""Data Protection Act 1998""]",ineligible,stale_gold
701,eligible,eligible,"The passages confirm that[passage text redacted]filmed on Oak Island, Nova Scotia, matching the gold answer.","The show is about and filmed on Oak Island in Nova Scotia, which the passages support, so the gold answer is correct and answerable.",where is the tv show the curse of oak island filmed,"[""Oak Island""]",eligible,eligible
